Country,Type
Afghanistan,Country
Albania,Country
Algeria,Country
Angola,Country
Antigua and Barbuda,Country
Argentina,Country
Armenia,Country
Aruba,Country
Australia,Country
Austria,Country
Azerbaijan,Country
"Bahamas, The",Country
Bahrain,Country
Bangladesh,Country
Barbados,Country
Belarus,Country
Belgium,Country
Belize,Country
Benin,Country
Bermuda,Country
Bhutan,Country
Bolivia,Country
Bosnia and Herzegovina,Country
Botswana,Country
Brazil,Country
Brunei Darussalam,Country
Bulgaria,Country
Burkina Faso,Country
Burundi,Country
Cabo Verde,Country
Cambodia,Country
Cameroon,Country
Canada,Country
Cayman Islands,Country
Chad,Country
Channel Islands,Country
Chile,Country
China,Country
Colombia,Country
Comoros,Country
"Congo, Dem. Rep.",Country
"Congo, Rep.",Country
Costa Rica,Country
Cote d'Ivoire,Country
Croatia,Country
Cuba,Country
Curacao,Country
Cyprus,Country
Czech Republic,Country
Denmark,Country
Djibouti,Country
Dominica,Country
Dominican Republic,Country
Ecuador,Country
"Egypt, Arab Rep.",Country
El Salvador,Country
Equatorial Guinea,Country
Eritrea,Country
Estonia,Country
Eswatini,Country
Ethiopia,Country
Faroe Islands,Country
Fiji,Country
Finland,Country
France,Country
French Polynesia,Country
Gabon,Country
"Gambia, The",Country
Georgia,Country
Germany,Country
Ghana,Country
Greece,Country
Greenland,Country
Grenada,Country
Guam,Country
Guatemala,Country
Guinea,Country
Guinea-Bissau,Country
Guyana,Country
Haiti,Country
Honduras,Country
"Hong Kong SAR, China",Country
Hungary,Country
Iceland,Country
India,Country
Indonesia,Country
"Iran, Islamic Rep.",Country
Iraq,Country
Ireland,Country
Isle of Man,Country
Israel,Country
Italy,Country
Jamaica,Country
Japan,Country
Jordan,Country
Kazakhstan,Country
Kenya,Country
Kiribati,Country
"Korea, Dem. People's Rep.",Country
"Korea, Rep.",Country
Kosovo,Country
Kuwait,Country
Kyrgyz Republic,Country
Lao PDR,Country
Latvia,Country
Lebanon,Country
Lesotho,Country
Liberia,Country
Libya,Country
Liechtenstein,Country
Lithuania,Country
Luxembourg,Country
"Macao SAR, China",Country
Madagascar,Country
Malawi,Country
Malaysia,Country
Maldives,Country
Mali,Country
Malta,Country
Marshall Islands,Country
Mauritania,Country
Mauritius,Country
Mexico,Country
"Micronesia, Fed. Sts.",Country
Moldova,Country
Mongolia,Country
Montenegro,Country
Morocco,Country
Mozambique,Country
Myanmar,Country
Namibia,Country
Nepal,Country
Netherlands,Country
New Caledonia,Country
New Zealand,Country
Nicaragua,Country
Niger,Country
Nigeria,Country
North Macedonia,Country
Norway,Country
Oman,Country
Pakistan,Country
Palau,Country
Panama,Country
Papua New Guinea,Country
Paraguay,Country
Peru,Country
Philippines,Country
Poland,Country
Portugal,Country
Puerto Rico,Country
Qatar,Country
Romania,Country
Russian Federation,Country
Rwanda,Country
Samoa,Country
San Marino,Country
Sao Tome and Principe,Country
Saudi Arabia,Country
Senegal,Country
Serbia,Country
Seychelles,Country
Sierra Leone,Country
Singapore,Country
Sint Maarten (Dutch part),Country
Slovak Republic,Country
Slovenia,Country
Solomon Islands,Country
Somalia,Country
South Sudan,Country
Spain,Country
Sri Lanka,Country
St. Kitts and Nevis,Country
St. Lucia,Country
St. Martin (French part),Country
St. Vincent and the Grenadines,Country
Sudan,Country
Suriname,Country
Sweden,Country
Switzerland,Country
Syrian Arab Republic,Country
Tajikistan,Country
Tanzania,Country
Thailand,Country
Timor-Leste,Country
Togo,Country
Tonga,Country
Trinidad and Tobago,Country
Tunisia,Country
Turkey,Country
Turkmenistan,Country
Uganda,Country
Ukraine,Country
United Arab Emirates,Country
United Kingdom,Country
United States,Country
Uruguay,Country
Uzbekistan,Country
Vanuatu,Country
"Venezuela, RB",Country
Vietnam,Country
Virgin Islands (U.S.),Country
West Bank and Gaza,Country
"Yemen, Rep.",Country
Zambia,Country
Zimbabwe,Country
